2023-05-23T09:25:27.167+05:00  INFO 20460 --- [http-nio-8085-exec-10] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:25:33.619+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:25:33.625+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:25:38.023+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:25:38.027+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:25:48.848+05:00  INFO 20460 --- [http-nio-8085-exec-4] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:25:48.855+05:00  INFO 20460 --- [http-nio-8085-exec-4] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:26:30.258+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:26:30.265+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:28:18.825+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T09:29:41.853+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:29:41.860+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:29:57.299+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:29:57.304+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:30:13.360+05:00  INFO 20460 --- [http-nio-8085-exec-6] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:30:13.365+05:00  INFO 20460 --- [http-nio-8085-exec-6] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:30:19.917+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:30:19.921+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:30:40.923+05:00  INFO 20460 --- [http-nio-8085-exec-10] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:30:40.929+05:00  INFO 20460 --- [http-nio-8085-exec-10] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:30:51.658+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:30:51.663+05:00  INFO 20460 --- [http-nio-8085-exec-1] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:30:57.663+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:30:57.668+05:00  INFO 20460 --- [http-nio-8085-exec-2] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:32:11.274+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:32:11.279+05:00  INFO 20460 --- [http-nio-8085-exec-3] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:32:37.977+05:00  INFO 20460 --- [http-nio-8085-exec-5] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:32:37.983+05:00  INFO 20460 --- [http-nio-8085-exec-5] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:32:40.795+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:32:40.799+05:00  INFO 20460 --- [http-nio-8085-exec-8] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:32:45.951+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:32:45.957+05:00  INFO 20460 --- [http-nio-8085-exec-9] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:33:14.273+05:00  INFO 20460 --- [http-nio-8085-exec-6] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:33:14.279+05:00  INFO 20460 --- [http-nio-8085-exec-6] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:33:18.835+05:00  INFO 20460 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-05-23T09:33:21.915+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:33:21.920+05:00  INFO 20460 --- [http-nio-8085-exec-7] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
2023-05-23T09:33:37.027+05:00  INFO 20460 --- [http-nio-8085-exec-10] c.e.p.Service.ColorManagementService     : GETTING ALL COLORS
2023-05-23T09:33:37.033+05:00  INFO 20460 --- [http-nio-8085-exec-10] c.e.p.Service.ColorManagementService     : SUCCESSFULLY RETRIEVED ALL COLORS
